TL,TR,BL,BR
199,213,0,0
310,157,0,0
218,77,0,0
242,112,0,0
131,63,0,0
96,54,0,0
113,42,0,0
96,44,0,0
112,64,0,0
126,89,0,0
165,110,0,0
241,159,0,0
174,144,0,0
176,163,0,0
265,222,0,0
235,249,0,0
149,240,0,0
175,291,0,0
121,295,0,0
9,242,0,0
21,309,0,0
51,378,0,0
64,399,0,0
0,387,0,0
0,304,0,0
0,284,0,0
0,317,0,0
0,370,0,0
0,400,0,0
0,397,0,0
0,526,0,0
0,557,0,0
0,593,0,0
0,602,0,0
0,648,0,0
0,673,0,0
0,688,0,0
0,694,0,0
0,681,0,0
0,693,0,0
0,640,0,0
0,652,0,0
0,471,0,0
0,340,0,0
0,299,0,0
0,356,0,0
0,122,0,0
0,80,0,0
0,99,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,18,0
0,0,35,0
0,0,16,0
0,0,15,0
0,0,38,0
0,0,54,0
0,0,49,0
0,0,3,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,15,0
0,0,113,0
0,0,162,0
0,0,317,0
0,0,320,0
0,0,309,0
0,0,365,0
0,0,401,0
0,0,530,0
0,0,617,0
0,0,511,0
0,0,646,0
0,0,624,0
0,0,704,0
0,0,660,0
0,0,552,0
0,0,371,0
0,0,122,0
0,0,32,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,208,0
0,0,393,0
0,0,544,0
0,0,665,0
0,0,592,0
0,0,627,0
0,0,351,0
0,0,122,0
0,0,94,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,13,0,0
0,48,0,0
0,13,0,0
0,0,0,0
0,73,0,0
0,105,0,0
0,59,0,0
48,50,0,0
129,144,0,0
213,128,0,0
171,0,0,0
186,5,0,0
239,39,0,0
182,0,0,0
236,22,0,0
264,25,0,0
229,27,0,0
176,19,0,0
91,0,0,0
76,4,0,0
0,0,0,0
47,13,0,0
28,29,0,0
141,112,0,0
97,123,0,0
107,160,0,0
123,193,0,0
23,164,0,0
155,304,0,0
96,297,0,0
0,229,0,0
0,266,0,0
0,280,0,0
0,320,0,0
0,297,0,0
0,302,0,0
0,363,0,0
0,421,0,0
0,432,0,0
0,461,0,0
0,501,0,0
0,593,0,0
0,645,0,0
0,647,0,0
0,569,0,0
0,506,0,0
0,510,0,0
0,549,0,0
0,400,0,0
0,374,0,0
0,432,0,0
0,253,0,0
0,241,0,0
0,258,0,0
0,218,0,0
0,386,0,0
0,337,0,0
0,366,0,0
0,466,13,0
0,277,0,0
0,310,0,0
0,167,0,0
0,165,0,0
0,276,0,0
0,136,10,0
0,256,16,0
0,87,26,0
0,47,16,0
0,0,0,0
0,0,13,0
0,0,64,0
0,0,58,0
0,0,80,0
0,0,133,0
0,0,111,0
0,0,51,0
0,0,48,0
0,0,58,0
0,0,158,0
0,0,135,0
0,0,96,0
0,0,118,0
0,0,169,0
0,0,165,0
0,0,207,0
0,0,347,0
0,0,411,0
0,0,544,0
0,0,509,0
0,0,589,0
0,0,628,0
0,0,688,0
0,0,703,0
0,0,656,0
0,0,546,0
0,0,454,0
0,0,255,0
0,0,64,0
0,0,0,0
0,0,0,0
0,0,48,0
0,0,205,0
0,0,465,0
0,0,643,0
0,0,696,0
0,0,603,0
0,0,493,0
0,0,395,0
0,0,214,0
0,0,305,0
0,0,205,0
0,0,101,0
0,0,222,0
0,0,0,0
0,0,0,0
0,40,0,0
0,0,0,0
0,2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,4,0,0
0,0,0,0
0,82,0,0
0,0,0,0
0,9,0,0
19,42,0,0
21,0,0,0
119,79,0,0
175,32,0,0
181,0,0,0
269,35,0,0
237,0,0,0
256,0,0,0
235,0,0,0
239,0,0,0
338,31,0,0
287,30,0,0
399,94,0,0
353,83,0,0
422,160,0,0
241,86,0,0
263,144,0,0
160,142,0,0
139,156,0,0
98,195,0,0
80,183,0,0
125,288,0,0
0,240,0,0
106,352,0,0
31,335,0,0
0,310,0,0
0,354,0,0
49,490,0,0
27,499,0,0
0,511,0,0
5,587,0,0
91,704,0,0
48,683,0,0
53,709,0,0
6,707,0,0
0,694,0,0
0,710,0,0
